source_engine,report_type,date,snapshot_date,query_key,query_raw,page_key,page_raw,domain,clicks,impressions,ctr,avg_position,extra,source_file
bing_wmt,keyword,,2026-09-03,bookconv,bookconv,,,,1,7,14.290000000000001%,3.571414285714286,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,azw3 vs mobi,azw3 vs mobi,,,,1,6,16.67%,4.5,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,txt+pdf+epub+mobi+azw3,txt+pdf+epub+mobi+azw3,,,,0,4,0%,2,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,kindle edition format azw3 kfx mobi,kindle edition format azw3 kfx mobi,,,,0,4,0%,2.5,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,лучший формат для kindle paperwhite 2 mobi vs azw3,лучший формат для kindle paperwhite 2 mobi vs azw3,,,,0,4,0%,2,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,mejor formato para convertir a pdf azw3 epub mobiliario,mejor formato para convertir a pdf azw3 epub mobiliario,,,,0,4,0%,5.75,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,how to convert mobi to epub keep format and images,how to convert mobi to epub keep format and images,,,,0,4,0%,1.75,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,convert epub to azw3 for kindle 2025 2026,convert epub to azw3 for kindle 2025 2026,,,,0,4,0%,4.25,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,any loss during epub convert to mobi,any loss during epub convert to mobi,,,,0,3,0%,5.3333,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,how to preserve pdf order in epub,how to preserve pdf order in epub,,,,0,3,0%,4.3333,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
bing_wmt,keyword,,2026-09-03,como convertir de mobi a epub,como convertir de mobi a epub,,,,0,3,0%,9,,E:\一人公司\电子书格式转换站\ebook-converter\数据分析\bing_archive\www.bookconv.com_KeywordReport_2026_9_3.csv
