"日期","Citations","Cited Pages"
"2026/7/27 00:00:00","0","0"
"2026/7/28 00:00:00","0","0"
"2026/7/29 00:00:00","0","0"
"2026/7/30 00:00:00","0","0"
"2026/7/31 00:00:00","0","0"
"2026/8/1 00:00:00","0","0"
"2026/8/2 00:00:00","0","0"
"2026/8/3 00:00:00","0","0"
"2026/8/4 00:00:00","0","0"
"2026/8/5 00:00:00","0","0"
"2026/8/6 00:00:00","0","0"
"2026/8/7 00:00:00","0","0"
"2026/8/8 00:00:00","4","1"
"2026/8/9 00:00:00","1","1"
"2026/8/10 00:00:00","0","0"
"2026/8/11 00:00:00","13","1"
"2026/8/12 00:00:00","1","1"
"2026/8/13 00:00:00","0","0"
"2026/8/14 00:00:00","0","0"
"2026/8/15 00:00:00","6","3"
"2026/8/16 00:00:00","19","3"
"2026/8/17 00:00:00","38","6"
"2026/8/18 00:00:00","31","2"
"2026/8/19 00:00:00","28","4"
"2026/8/20 00:00:00","38","6"
"2026/8/21 00:00:00","10","1"
"2026/8/22 00:00:00","17","4"
"2026/8/23 00:00:00","43","6"
"2026/8/24 00:00:00","38","9"
"2026/8/25 00:00:00","147","16"
"2026/8/26 00:00:00","162","13"
"2026/8/27 00:00:00","198","20"
"2026/8/28 00:00:00","192","22"
"2026/8/29 00:00:00","159","17"
"2026/8/30 00:00:00","117","15"
"2026/8/31 00:00:00","158","22"
"2026/9/1 00:00:00","110","15"
"2026/9/2 00:00:00","151","16"
"2026/9/3 00:00:00","133","18"
"2026/9/4 00:00:00","219","20"
"2026/9/5 00:00:00","157","22"
"2026/9/6 00:00:00","244","22"
"2026/9/7 00:00:00","164","22"
"2026/9/8 00:00:00","169","25"
"2026/9/9 00:00:00","189","25"
"2026/9/10 00:00:00","184","20"
"2026/9/11 00:00:00","171","20"
"2026/9/12 00:00:00","301","20"
"2026/9/13 00:00:00","324","22"
"2026/9/14 00:00:00","260","23"
"2026/9/15 00:00:00","312","21"
"2026/9/16 00:00:00","473","25"
"2026/9/17 00:00:00","444","27"
"2026/9/18 00:00:00","712","29"
"2026/9/19 00:00:00","930","27"
"2026/9/20 00:00:00","872","33"
"2026/9/21 00:00:00","990","28"
"2026/9/22 00:00:00","866","30"
"2026/9/23 00:00:00","1047","31"
"2026/9/24 00:00:00","1450","37"
