"日期","点击次数","印象数","平均 点击率"
"2026/7/26 上午12:00:00","0","0","0"
"2026/7/27 上午12:00:00","0","0","0"
"2026/7/28 上午12:00:00","0","0","0"
"2026/7/29 上午12:00:00","0","0","0"
"2026/7/30 上午12:00:00","0","0","0"
"2026/7/31 上午12:00:00","0","0","0"
"2026/8/1 上午12:00:00","0","0","0"
"2026/8/2 上午12:00:00","0","0","0"
"2026/8/3 上午12:00:00","0","0","0"
"2026/8/4 上午12:00:00","0","0","0"
"2026/8/5 上午12:00:00","0","2","0"
"2026/8/6 上午12:00:00","0","1","0"
"2026/8/7 上午12:00:00","0","0","0"
"2026/8/8 上午12:00:00","0","0","0"
"2026/8/9 上午12:00:00","0","3","0"
"2026/8/10 上午12:00:00","0","3","0"
"2026/8/11 上午12:00:00","0","9","0"
"2026/8/12 上午12:00:00","0","3","0"
"2026/8/13 上午12:00:00","1","9","11.11"
"2026/8/14 上午12:00:00","0","18","0"
"2026/8/15 上午12:00:00","0","6","0"
"2026/8/16 上午12:00:00","1","11","9.09"
"2026/8/17 上午12:00:00","1","28","3.57"
"2026/8/18 上午12:00:00","0","14","0"
"2026/8/19 上午12:00:00","0","11","0"
"2026/8/20 上午12:00:00","0","12","0"
"2026/8/21 上午12:00:00","0","5","0"
"2026/8/22 上午12:00:00","0","5","0"
"2026/8/23 上午12:00:00","1","12","8.33"
"2026/8/24 上午12:00:00","2","12","16.67"
"2026/8/25 上午12:00:00","2","20","10"
"2026/8/26 上午12:00:00","0","11","0"
"2026/8/27 上午12:00:00","1","19","5.26"
"2026/8/28 上午12:00:00","1","29","3.45"
"2026/8/29 上午12:00:00","2","30","6.67"
"2026/8/30 上午12:00:00","0","31","0"
"2026/8/31 上午12:00:00","1","27","3.7"
"2026/9/1 上午12:00:00","0","33","0"
"2026/9/2 上午12:00:00","0","25","0"
"2026/9/3 上午12:00:00","1","30","3.33"
"2026/9/4 上午12:00:00","2","37","5.41"
"2026/9/5 上午12:00:00","1","27","3.7"
"2026/9/6 上午12:00:00","1","29","3.45"
"2026/9/7 上午12:00:00","1","44","2.27"
"2026/9/8 上午12:00:00","0","38","0"
"2026/9/9 上午12:00:00","2","50","4"
"2026/9/10 上午12:00:00","0","45","0"
"2026/9/11 上午12:00:00","1","45","2.22"
"2026/9/12 上午12:00:00","1","47","2.13"
"2026/9/13 上午12:00:00","2","64","3.12"
"2026/9/14 上午12:00:00","0","58","0"
"2026/9/15 上午12:00:00","2","73","2.74"
"2026/9/16 上午12:00:00","4","60","6.67"
"2026/9/17 上午12:00:00","2","68","2.94"
"2026/9/18 上午12:00:00","2","79","2.53"
"2026/9/19 上午12:00:00","2","41","4.88"
"2026/9/20 上午12:00:00","3","90","3.33"
"2026/9/21 上午12:00:00","1","87","1.15"
